"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
218038.703,170006.48465,2544449.5027,1,1,-12.652,16.966,-24.753,26.3529755134805,19.1350450897273,32.5673036802251,17.5904802436627
218039.103,170007.29425,2544449.4461,1,1,-12.655,14.695,-24.869,25.1383179969153,19.0426935932385,31.5366328418238,18.4020743614588
218039.603,170008.30885,2544449.3737,1,1,-7.622,9.639,-23.623,23.8223191182612,11.8974134091291,26.6280178383597,19.4192578244316
218040.103,170009.32335,2544449.2914,1,1,-8.314,8.385,-22.366,22.3591412184672,11.8210651369765,25.2916740647985,20.4371103253437
218040.602,170010.3359,2544449.2154,1,1,-6.896,8.709,-21.422,21.8901336480127,10.1550790185079,24.1309672620059,21.4525225170102
218041.103,170011.35245,2544449.1314,1,1,-5.767,9.297,-25.336,26.0020801280222,9.24647084113256,27.5971990245387,22.4725765426107
218041.602,170012.3752,2544449.0456,1,1,-7.082,5.33,-21.733,21.8403987386685,8.5955742062974,23.4709802309149,23.4989303999036
218042.103,170013.40195,2544448.9531,1,1,-6.776,5.534,-16.035,16.3083101124863,8.22797534482066,18.2663777744795,24.5298425982543
218042.603,170014.41635,2544448.8557,1,1,-8.533,5.576,-13.099,12.5950461043293,10.8098325440231,16.597821122063,25.5489185999118
218043.103,170015.43085,2544448.7594,1,1,-9.639,8.873,-15.409,15.6528491456777,12.8088268246025,20.2256701001475,26.5679902952731
218043.602,170016.4535,2544448.6624,1,1,-12.146,15.025,-18.862,20.3366919051094,17.7614736820078,27.0009441501589,27.5952329419293
218044.003,170017.26505,2544448.5854,1,1,-15.408,20.043,-26.322,28.0915322566137,23.2989659100062,36.4962463412335,28.4104301396029
218044.503,170018.27955,2544448.4897,1,1,-14.321,20.332,-32.927,34.3676086199242,22.837164266776,41.2634050218835,29.4294427148022
218045.002,170019.292,2544448.4004,1,1,-14.893,16.264,-34.277,34.2399224825617,22.1101692075879,40.7582123503963,30.4458283393091
218045.503,170020.30855,2544448.3137,1,1,-12.264,12.267,-27.929,27.6173002351798,17.8381264072193,32.8772569719556,31.4660817914977
218046.003,170021.31285,2544448.2307,1,1,-12.031,11.289,-24.862,24.7249271297108,16.7027992992339,29.8379879683601,32.4738113821187
218046.504,170022.32528,2544448.1506,1,1,-13.44,10.389,-25.217,24.7465769222155,17.6654731222482,30.4049668639846,33.4894141540537
218047.002,170023.3296,2544448.0768,1,1,-12.538,8.493,-21.437,20.5210445496703,16.3635018437511,26.246475230019,34.4964521749019
218047.502,170024.334,2544448.0066,1,1,-12.322,8.417,-16.212,16.2182591474891,14.9155820276946,22.034212420688,35.5033205441022
218048.002,170025.3485,2544447.9336,1,1,-11.738,11.399,-11.292,11.7935303110369,16.00436664797,19.8803196402875,36.5204500308899
218048.503,170026.34465,2544447.8597,1,1,-13.897,12.677,-9.695,11.6641835847792,17.6570887832781,21.1618988514736,37.5193512432732
218049.003,170027.34895,2544447.7694,1,1,-17.978,15.358,-9.725,10.5452833818052,23.2905403844012,25.5666242003124,38.527715530132
218049.503,170028.36335,2544447.6727,1,1,-19.765,19.945,-14.496,18.4718683910183,25.6394684840559,31.6005105338506,39.5467435317059
218050.003,170029.38802,2544447.5644,1,1,-15.901,20.914,-15.868,20.5478825765901,22.7994548754716,30.6925173454378,40.5771393737212
218050.504,170030.4044,2544447.4552,1,1,-15.285,22.738,-19.757,22.7635851647422,24.9560835959397,33.778497864766,41.5994100553668
218050.903,170031.20165,2544447.3714,1,1,-15.299,21.758,-24.794,26.2812777612395,25.1297998447376,36.3622386687069,42.4011004592973
218051.404,170032.1977,2544447.2868,1,1,-12.647,20.18,-26.938,27.5507485087077,23.1039197888571,35.9560127516943,43.4007535369064
218052.003,170033.37415,2544447.2014,1,1,-10.019,18.682,-27.392,30.2919305216742,16.7963714614218,34.6369621791519,44.5803005278411
218052.503,170034.33745,2544447.1267,1,1,-6.331,17.513,-28.961,31.766753019341,13.2815531323784,34.431471809959,45.5465055837246
218053.004,170035.2926,2544447.0516,1,1,-6.782,15.482,-28.728,30.8228879112025,12.6860321934578,33.3314540936935,46.5046154757084
218053.503,170036.24362,2544446.9754,1,1,-6.412,14.668,-30.617,31.2331555128191,14.7700593672488,34.5494523400878,47.4587046469495
218054.003,170037.20685,2544446.8884,1,1,-7.955,14.955,-32.726,33.9762331459811,14.2667693333122,36.850035630919,48.4258578109283
218054.503,170038.19055,2544446.7914,1,1,-8.997,14.432,-31.353,31.166252542648,17.346583077018,35.6684628488529,49.4143359033119
218055.103,170039.36895,2544446.6787,1,1,-10.654,17.992,-35.27,34.9889425948331,21.3767765599838,41.0023496887678,50.5981239246744
218055.603,170040.34255,2544446.6037,1,1,-10.773,17.273,-36.715,36.9565479175371,19.9152918386547,41.9810109811567,51.5746118097543
218056.103,170041.32635,2544446.5367,1,1,-10.076,17.056,-35.26,36.0439808528526,18.3448073382958,40.4437944807359,52.5606925477503
