"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
217324.828,170033.48956,2544448.0782,1,1,-5.818,15.428,-28.614,30.4475428883601,12.7898567646972,33.0247377582321,45.4191667229464
217325.229,170034.70193,2544447.9902,1,1,-1.811,14.288,-27.779,30.2895228982678,7.85138895962443,31.2905657666972,46.6347345502012
217325.529,170035.61403,2544447.9241,1,1,-1.408,15.668,-29.574,32.0187553701023,9.84324481812517,33.4976143031112,47.5492294107746
217325.829,170036.53633,2544447.8552,1,1,-5.089,17.222,-34.268,36.2677389456376,13.4700460567544,38.6883836441896,48.4741023812961
217326.129,170037.46893,2544447.7812,1,1,-4.667,15.344,-35.957,37.271188528704,12.6879304718226,39.3716277794048,49.4096371159773
217326.529,170038.69872,2544447.6893,1,1,-6.028,16.935,-35.869,37.0861048762723,15.308069607437,40.1212682999927,50.6428561399308
217326.828,170039.59746,2544447.6206,1,1,-6.504,19.641,-37.996,40.0732590426233,16.3064656717147,43.2639216091191,51.5442187084005
217327.128,170040.48904,2544447.5484,1,1,-9.514,19.691,-40.18,42.1433024399979,17.7939915828592,45.7458640425558,52.4387206589119
217327.529,170041.65013,2544447.4602,1,1,-8.244,17.486,-38.161,39.6039215468526,16.1714269967354,42.7783315827067,53.6031600192723
217327.829,170042.46075,2544447.4013,1,1,-10.634,14.855,-35.864,37.6966703341822,14.1046277056853,40.2489686451715,54.4159240312859
217328.231,170043.45997,2544447.3219,1,1,-8.794,13.105,-34.323,35.9459409718305,11.6203751079592,37.7775566970655,55.418302745089
217328.729,170044.59235,2544447.2392,1,1,-8.931,10.619,-32.595,33.7257710928571,10.8412319960511,35.4254138578507,56.5537010224678
217329.229,170045.63765,2544447.1572,1,1,-7.241,7.901,-28.283,28.8557223368021,9.06274017179032,30.2454289273602,57.6022271193431
217351.029,170044.56609,2544451.549,2,3,7.682,45.285,-39.563,58.5088969611766,15.8645609578839,60.621574690864,0.599871361795917
217351.429,170044.66259,2544452.349,2,3,10.441,45.69,-35.837,57.2877957691358,14.1063675662371,58.9989927880129,1.40580411018404
217351.928,170044.77872,2544453.3648,2,3,10.965,45.219,-34.595,56.612321164038,12.5239092706637,57.9810590710449,2.42838995773831
217352.429,170044.87849,2544454.3939,2,3,12.808,42.062,-33.448,54.5992045538678,8.4233172850666,55.2451392612961,3.46248804025627
217352.928,170044.97628,2544455.4218,2,3,9.608,39.686,-31.264,50.6132013620212,9.11228861963327,51.4269380383472,4.49518728428742
217353.429,170045.05349,2544456.4539,2,3,6.435,40.839,-32.723,51.241058146488,12.4250486931936,52.7259696449482,5.53041488207955
217353.929,170045.14099,2544457.4859,2,3,1.313,38.983,-35.76,50.1773404359009,16.8050696154374,52.9166878971086,6.56641678657145
217354.329,170045.21616,2544458.3159,2,3,-0.114,40.968,-41.569,55.7450752151556,17.2875206509392,58.3641309452989,7.39999795120259
217354.829,170045.29449,2544459.352,2,3,1.353,45.843,-38.643,57.3117128267271,17.6652279879644,59.9724328921214,8.43927361988542
217355.328,170045.39218,2544460.379,2,3,0.02,48.5,-36.883,57.6195330131918,19.8140229217013,60.9311586054295,9.47107041458694
217355.829,170045.47969,2544461.4041,2,3,0.602,46.768,-35.797,54.5328774332292,22.2530608198602,58.8985011439171,10.5000757353047
217356.329,170045.56718,2544462.428,2,3,0.603,48.99,-38.442,58.6520131985275,20.931135199978,62.274963452418,11.5279122046402
217356.829,170045.65459,2544463.4419,2,3,-0.386,46.286,-34.052,53.9111485865009,19.8914442432977,57.4637407066404,12.5458265992503
217357.329,170045.74199,2544464.454,2,3,-4.283,46.297,-29.645,49.1157811278072,25.0643644883595,55.1414755243274,13.5620082763046
217357.829,170045.82939,2544465.4738,2,3,-5.109,47.62,-27.57,48.2314879068716,26.9739643969754,55.2618419978922,14.5858142256565
217358.229,170045.90558,2544466.2969,2,3,-4.148,48.318,-26.02,48.9508840554853,25.1532578046351,55.0352198869051,15.4125726789234
217358.729,170045.99319,2544467.3539,2,3,-3.102,49.136,-26.336,50.2220162686948,24.3988294372282,55.8350588429886,16.4734096028893
217359.229,170046.09026,2544468.4478,2,3,-1.368,48.785,-27.876,50.7788356459169,24.0920915539719,56.2042616266774,17.5717436784549
217359.63,170046.1577,2544469.364,2,3,-0.457,49.721,-32.377,53.5404496246309,25.5749305569412,59.3351229795641,18.4906226893418
217360.029,170046.24366,2544470.3085,2,3,-0.577,52.851,-37.032,57.6763977360494,28.9545039362279,64.5362700657545,19.4390297763039
217360.429,170046.32159,2544471.2786,2,3,1.352,53.711,-39.035,60.9770100606149,26.310357163438,66.4110732483672,20.4123799865445
217360.829,170046.40786,2544472.2695,2,3,1.973,55.217,-39.219,62.1363538352481,27.0187585033223,67.7564740744381,21.4070307338904
217361.229,170046.48598,2544473.2645,2,3,3.49,51.093,-36.951,59.9465956704832,19.860936974866,63.1510185982776,22.4052176793868
217361.629,170046.57329,2544474.2625,2,3,4.51,45.484,-30.151,52.5224039224344,15.4794781310174,54.755978276349,23.4070295665599
217362.029,170046.66059,2544475.2605,2,3,1.416,42.43,-26.774,46.9334523346369,17.7878633891866,50.1912047275217,24.4088408945549
217362.428,170046.74798,2544476.2612,2,3,1.798,42.546,-24.553,46.3476316228468,16.3750350214249,49.155312317185,25.4133498362209
217362.829,170046.83529,2544477.2664,2,3,0.275,43.823,-24.335,46.3084615450058,19.1898298151579,50.1270703213344,26.4223346682429
217363.229,170046.92269,2544478.2694,2,3,0.15,46.386,-21.623,47.2920327414264,19.5627519583481,51.1784879124032,27.4291354474294
217363.629,170047.02029,2544479.2715,2,3,0.216,51.798,-21.351,51.5698124297042,21.8974680491862,56.0262854471006,28.436093681137
217364.028,170047.10758,2544480.273,2,3,-0.429,57.252,-27.901,58.7683444295754,24.5504183061468,63.6901981940706,29.4413906976945
217364.429,170047.20519,2544481.2695,2,3,-2.276,58.997,-36.585,64.3705502823687,26.0906241080017,69.4570976214814,30.4427621014064
217364.829,170047.29239,2544482.2475,2,3,-5.316,59.541,-47.047,70.0343209135371,29.698562931221,76.0710900802664,31.4246419441947
217365.229,170047.38979,2544483.2126,2,3,-5.097,58.648,-50.888,71.7718497700502,30.0658849459872,77.8148819763932,32.3947688114057
217365.729,170047.50787,2544484.4036,2,3,-5.299,56.263,-50.934,70.2340131324754,29.2414145572212,76.0780975445627,33.5917495002026
217366.13,170047.596,2544485.348,2,3,-2.812,52.679,-49.298,67.662079214631,25.2015917226075,72.2030275611764,34.540255032638
217366.528,170047.69318,2544486.2804,2,3,-0.899,51.765,-49.613,67.9854454192629,22.8002720629475,71.7068559832322,35.4777736130019
217366.929,170047.78019,2544487.2147,2,3,1.758,48.893,-51.184,67.6159487641108,21.0119333172638,70.8054932120383,36.4161165536451
217367.429,170047.89918,2544488.3796,2,3,5.241,46.424,-49.542,65.8378098230625,17.3910442096574,68.0960029737429,37.5872673444793
217367.829,170047.99639,2544489.3157,2,3,6.002,47.457,-47.517,65.186913240353,17.2256345077532,67.424447658101,38.5285286822178
217368.229,170048.08339,2544490.2477,2,3,6.195,49.346,-45.8,66.0229803554167,14.5606251922183,67.6095092498089,39.464580634712
217368.629,170048.17038,2544491.1817,2,3,6.439,47.423,-46.716,64.5688072067989,17.4257120913676,66.8788928287543,40.4026229440162
217369.129,170048.26898,2544492.3686,2,3,6.061,50.356,-50.757,68.8310401635772,20.2737124375388,71.7546897840134,41.5937944154801
217369.529,170048.34578,2544493.3186,2,3,7.528,53.033,-53.369,73.0843876110218,19.3930998430351,75.61362333601,42.5470570698338
217369.929,170048.43176,2544494.2596,2,3,7.904,53.36,-54.246,74.9455071229372,15.3480387700114,76.5009237329851,43.4919786725178
217370.329,170048.49938,2544495.2077,2,3,10.755,54.219,-56.875,77.6102173735741,16.3337004449872,79.3103751787873,44.4426824386846
217370.729,170048.57618,2544496.1577,2,3,14.644,51.827,-58.495,78.5810836597721,12.1310750082545,79.5119468381953,45.3959456473079
217371.228,170048.65418,2544497.3344,2,3,14.652,46.038,-52.769,71.4473672088889,3.74427935899305,71.5454115160434,46.5755092109057
217371.629,170048.72069,2544498.2687,2,3,14.474,47.879,-51.012,71.3261287634731,4.08690795301937,71.4431204595656,47.5123953887084
217372.029,170048.78709,2544499.1897,2,3,12.249,50.98,-44.338,68.0742804295647,8.98604412391722,68.6648137330904,48.4359620620849
217372.528,170048.86488,2544500.3224,2,3,10.603,51.002,-35.877,62.3049231249377,10.9033617015858,63.2517726391917,49.5716034568812
217372.929,170048.92089,2544501.2178,2,3,6.921,49.246,-32.373,58.1818916175587,11.6596472417759,59.3386879362866,50.4689387679687
217373.428,170048.99838,2544502.3016,2,3,6.179,48.505,-31.712,57.2033604410136,11.1508548665777,58.280065288227,51.5557772335545
217373.828,170049.06438,2544503.144,2,3,3.771,45.792,-30.237,53.5133327312437,12.7171967821216,55.0036714592762,52.4009417443811
217374.329,170049.13129,2544504.157,2,3,2.346,44.197,-32.798,53.3991491637575,13.5321172617879,55.0870885870727,53.4162894207808
217374.928,170049.20928,2544505.328,2,3,-0.565,44.984,-39.035,56.1890812408786,19.7584881837133,59.5618225543846,54.5901047498319
217375.428,170049.2655,2544506.2604,2,3,-0.032,45.802,-42.429,60.197679913885,16.561509652971,62.4343196407232,55.5246519244283
217409.228,170045.17934,2544507.8588,3,2,33.987,22.565,-41.611,57.3444785311772,-10.3625043781588,58.2732418439201,0.469938468333962
217409.629,170044.20175,2544507.9448,3,2,33.947,19.803,-36.812,51.7664975319416,-14.8293862069705,53.8486857964055,1.45131452015205
217410.029,170043.18724,2544508.0317,3,2,32.709,16.892,-31.848,45.4956824355854,-17.3105842974859,48.6776483511683,2.46954225491078
217410.429,170042.16347,2544508.1147,3,2,34.393,16.844,-30.39,44.3586036263598,-20.5539575099175,48.889169403867,3.49667493271253
217410.829,170041.14795,2544508.2018,3,2,35.243,15.924,-28.213,41.9334353249566,-23.0911930364734,47.870828215104,4.51593095902979
217411.229,170040.12315,2544508.2837,3,2,36.158,18.151,-29.027,44.9020106005999,-21.5229165780016,49.793839920215,5.54400016434946
217411.629,170039.08814,2544508.3647,3,2,37.353,20.712,-28.86,46.5178668967295,-22.2085842047205,51.5473874507719,6.58220357829079
217411.929,170038.30008,2544508.4338,3,2,40.278,21.98,-27.084,47.0824417387131,-24.9444266304257,53.2820864831699,7.37329335528507
217412.329,170037.25477,2544508.5089,3,2,40.013,20.615,-23.606,44.8404034211881,-23.9290587158189,50.825796894884,8.4213002277671
217412.729,170036.20948,2544508.5909,3,2,41.812,26.603,-20.171,48.1831690473335,-23.2640154435145,53.5054407887647,9.46982628477012
217413.129,170035.16315,2544508.6758,3,2,39.167,31.094,-24.712,52.1442635522267,-19.8128606615985,55.7814814163267,10.519611273682
217413.529,170034.10765,2544508.7598,3,2,37.401,35.278,-32.222,58.5607630527389,-15.8828964512451,60.6764317424814,11.5784680865248
217413.829,170033.30937,2544508.8278,3,2,36.619,37.586,-37.471,62.28388805662,-16.6868716825663,64.4804962604972,12.3796404279721
217414.229,170032.25285,2544508.9188,3,2,32.62,35.718,-42.629,63.4120998521567,-11.6609243776003,64.4753562611328,13.4400745670867
217414.63,170031.1851,2544509.009,3,2,32.926,35.645,-45.676,65.7331589133859,-10.9606704296571,66.6407118584428,14.5116514204474
217415.028,170030.1234,2544509.0996,3,2,33.49,32.678,-50.045,67.6877440277128,-10.5973165206494,68.512289474225,15.5772374564956
217415.328,170029.32616,2544509.1714,3,2,32.86,31.115,-49.272,65.2900726041375,-14.5896959648396,66.900319946918,16.3777182728276
217415.729,170028.26758,2544509.2618,3,2,33.993,30.1,-49.492,65.3239433969111,-15.6132806314737,67.1639197262935,17.440155664132
