1616501033.054501,3083,3514,426,4694,-2.3,3.0,52.3
1616501033.160040,3095,3521,418,4707,-2.3,2.9,52.3
1616501033.246107,3128,3564,365,4756,-2.2,3.0,52.4
1616501033.353269,3136,3568,365,4764,-2.1,3.0,52.4
1616501033.451444,3087,3487,421,4676,-2.2,3.0,52.1
1616501033.549332,3033,3422,486,4598,-2.1,3.0,52.0
1616501033.646138,3000,3380,514,4548,-2.2,3.1,51.8
1616501033.749507,2910,3300,616,4442,-2.2,3.0,52.0
1616501033.845215,2934,3311,625,4468,-2.3,3.0,52.3
1616501033.946700,2923,3350,622,4489,-2.2,3.2,52.1
1616501034.033055,3001,3395,552,4565,-2.4,3.0,52.2
1616501034.141180,3017,3430,495,4595,-2.4,3.0,52.1
1616501034.240864,3074,3479,455,4665,-2.2,3.0,52.1
1616501034.336879,3099,3517,418,4706,-2.4,3.1,52.3
1616501034.435190,3128,3552,386,4749,-2.4,2.8,52.4
1616501034.533441,3136,3564,357,4761,-2.2,2.6,52.4
1616501034.631445,3144,3537,356,4746,-2.2,2.7,52.3
1616501034.730575,3136,3552,357,4752,-2.4,2.6,52.1
1616501034.820332,3058,3448,462,4632,-2.2,2.7,52.0
1616501034.923690,3005,3387,515,4557,-2.2,2.6,51.8
1616501035.032162,2913,3352,370,4456,-2.4,2.8,52.7
1616501035.122056,2921,3354,360,4462,-2.3,2.8,52.1
1616501035.220487,2906,3304,579,4438,-2.3,2.9,52.5
1616501035.319189,2940,3361,532,4496,-2.3,2.9,52.4
1616501035.416077,2981,3399,495,4548,-2.5,2.8,52.4
1616501035.506927,3005,3430,462,4583,-2.3,2.9,52.7
1616501035.595468,3046,3479,397,4641,-2.4,3.0,52.5
1616501035.707448,3071,3510,365,4678,-2.4,3.0,52.6
1616501035.805330,3112,3544,332,4728,-2.2,2.9,52.4
1616501035.896226,3129,3568,299,4755,-2.2,3.0,52.4
1616501036.002482,3113,3537,303,4722,-2.1,3.0,52.4
1616501036.099696,3034,3453,400,4614,-2.2,2.9,52.4
1616501036.198119,3005,3411,457,4568,-2.3,3.2,51.9
1616501036.298169,2959,3326,496,4479,-2.4,2.8,52.2
1616501036.386524,2902,3300,591,4434,-2.2,2.9,52.0
1616501036.491632,2894,3285,601,4419,-2.4,3.2,52.3
1616501036.588707,2924,3361,561,4490,-2.3,3.2,52.4
1616501036.686527,2940,3381,528,4511,-2.3,3.0,52.3
1616501036.784530,3001,3407,490,4567,-1.9,3.0,52.1
1616501036.885495,3022,3465,430,4618,-2.9,3.0,52.4
1616501036.980536,3067,3503,398,4672,-1.8,2.7,52.5
1616501037.081187,3075,3510,382,4682,-1.9,2.8,52.5
1616501037.169703,3124,3568,328,4754,-2.6,2.9,52.5
1616501037.274423,3125,3572,315,4756,-2.2,2.6,52.3
1616501037.372794,3099,3509,343,4694,-2.4,2.7,52.3
1616501037.470544,3050,3456,404,4627,-2.4,2.7,52.0
1616501037.568495,3001,3387,494,4552,-2.3,2.7,52.0
1616501037.665992,2932,3334,548,4474,-2.4,2.7,52.2
1616501037.764220,2906,3296,595,4434,-2.3,3.0,52.1
1616501037.864331,2918,3319,580,4457,-2.2,2.9,52.3
1616501037.946759,2936,3377,532,4506,-2.5,2.8,52.0
1616501038.058361,2997,3387,507,4550,-2.4,3.0,52.3
1616501038.155567,3026,3457,434,4615,-2.2,3.3,52.4
1616501038.247086,3038,3476,397,4634,-2.3,3.0,52.5
1616501038.351781,3059,3503,398,4668,-2.5,2.8,52.5
1616501038.449740,3108,3552,329,4731,-2.2,3.0,52.5
1616501038.547602,3096,3537,324,4712,-2.2,3.1,52.5
1616501038.648197,3120,3560,333,4745,-2.2,3.0,52.4
1616501038.737338,3062,3479,381,4650,-2.2,3.0,52.3
1616501038.837627,3030,3438,408,4600,-2.2,3.2,52.0
1616501038.947727,2947,3322,525,4472,-2.2,3.2,51.9
1616501039.037129,2906,3296,579,4432,-2.4,3.2,52.0
1616501039.135608,2897,3281,595,4417,-2.2,3.1,52.4
1616501039.233018,2908,3339,560,4463,-2.2,3.0,52.4
1616501039.330603,2940,3377,545,4511,-2.0,2.9,52.2
