ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.00479,0.92175,9.90174,0.01432,0.79663,9.77423,0.0,-0.0015,5.0E-5,-10.384,20.672,-18.36,24.007,-4.659,-0.084,5.0,61.3207,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,11,2021-03-23 20:21:25:829
-0.00958,0.73493,9.64307,0.01513,0.79598,9.77428,-3.4E-4,-0.00162,-1.1E-4,-11.258,19.375,-18.368,28.276,-4.659,-0.084,5.0,61.4931,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,111,2021-03-23 20:21:25:929
-0.01916,0.68942,9.61432,0.0167,0.79072,9.77471,-4.8E-4,-0.00113,1.1E-4,-10.296,20.474,-18.614,24.899,-4.647,-0.097,5.0,61.4931,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,211,2021-03-23 20:21:26:029
-0.01916,0.81636,9.77959,0.01517,0.79647,9.77424,-4.3E-4,-0.00128,-2.0E-5,-10.373,20.224,-19.04,24.905,-4.625,-0.098,5.0,61.4931,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,311,2021-03-23 20:21:26:129
-0.00958,0.91217,9.81312,0.01442,0.79191,9.77461,-6.9E-4,-0.00143,-1.1E-4,-11.389,18.686,-17.123,28.382,-4.638,-0.084,5.0,61.4931,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,411,2021-03-23 20:21:26:229
0.06227,0.7996,9.78438,0.01545,0.79156,9.77464,-6.2E-4,-0.00176,5.0E-5,-10.059,19.779,-19.432,24.913,-4.632,-0.085,5.0,61.2547,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,511,2021-03-23 20:21:26:329
0.03353,0.69661,9.73168,0.01796,0.79317,9.77451,-7.4E-4,-0.00151,-2.0E-5,-11.3,19.644,-18.657,27.051,-4.639,-0.105,5.0,61.2547,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,611,2021-03-23 20:21:26:429
-0.00479,0.74212,9.68857,0.01457,0.79074,9.77471,-3.5E-4,-0.0015,-2.3E-4,-10.466,20.039,-19.293,24.895,-4.639,-0.105,5.0,61.2547,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,711,2021-03-23 20:21:26:529
0.00958,0.87145,9.82509,0.01682,0.79327,9.7745,-8.0E-5,-0.00121,-1.1E-4,-11.069,20.817,-20.2,25.94,-4.647,-0.084,5.0,62.841,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,811,2021-03-23 20:21:26:629
-0.01198,0.82834,9.81791,0.01633,0.79006,9.77476,-3.0E-4,-0.00116,2.0E-5,-10.331,20.496,-19.708,24.814,-4.64,-0.099,5.0,62.841,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,911,2021-03-23 20:21:26:729
0.02635,0.71577,9.66702,0.01616,0.79171,9.77463,-1.0E-5,-0.00113,1.2E-4,-10.41,20.609,-18.855,23.922,-4.652,-0.093,5.0,62.841,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1010,2021-03-23 20:21:26:828
-0.02874,0.72775,9.71013,0.01399,0.79298,9.77453,-1.0E-4,-0.00206,-2.0E-5,-12.011,20.001,-19.133,29.137,-4.631,-0.095,5.0,62.1135,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1111,2021-03-23 20:21:26:929
-0.01677,0.82594,9.74126,0.01444,0.79165,9.77463,-9.1E-4,-0.00134,2.7E-4,-10.593,20.047,-19.215,27.069,-4.63,-0.085,5.0,62.1135,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1211,2021-03-23 20:21:27:029
0.01677,0.85468,9.92569,0.01461,0.79431,9.77442,-4.0E-4,-9.0E-4,1.3E-4,-9.293,19.091,-17.857,23.752,-4.63,-0.085,5.0,62.1135,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1311,2021-03-23 20:21:27:129
0.06706,0.78283,9.77719,0.01474,0.78196,9.77541,0.00547,0.00109,5.7E-4,-9.82,19.706,-18.852,24.928,-4.587,-0.082,5.0,62.0048,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1411,2021-03-23 20:21:27:229
-0.03593,0.78523,9.66702,0.01348,0.782,9.77541,0.00713,8.2E-4,-3.2E-4,-9.903,21.848,-19.692,22.966,-4.574,-0.086,5.0,62.0048,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1511,2021-03-23 20:21:27:329
-0.00719,0.86427,9.76043,0.0078,0.80006,9.77396,0.00408,-0.00144,5.0E-5,-11.19,19.487,-19.726,28.111,-4.594,-0.075,5.0,62.0048,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1611,2021-03-23 20:21:27:429
-0.07185,1.2858,9.77719,0.00375,0.83324,9.77119,0.00391,-0.00115,6.6E-4,-10.699,18.979,-19.904,28.103,-4.68,-0.046,5.0,61.5468,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1710,2021-03-23 20:21:27:528
-0.13173,1.45106,9.84186,7.0E-4,0.87239,9.76777,0.01173,0.00154,-8.8E-4,-9.525,21.56,-20.457,22.881,-5.104,-0.004,5.0,61.5468,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1811,2021-03-23 20:21:27:629
-0.05748,1.41753,9.59517,-0.01334,0.98185,9.75737,0.01307,0.00167,6.1E-4,-9.631,20.506,-15.968,24.112,-5.104,-0.004,5.0,61.5468,23.000013,120.21947,42.651,NaN,0.0,32.0,184.568,0 / 0,1913,2021-03-23 20:21:27:731
